,TEST DATASET,Introduction,Summary
117,118,"Avamys Nasal Spray is a steroid. It relieves the symptoms of allergic rhinitis such as runny nose, sneezing and sinus discomfort. It works by blocking the production of certain chemical messengers that cause inflammation (swelling) and allergies, thus relieving the discomfort and irritation in your nose.You should always use it as advised by your doctor but to get the full benefit you should take it regularly. It may take a few days for the spray to take full effect. If you do not see an improvement in your symptoms after a week you should talk to your doctor.The most common side effects of Avamys Nasal Spray include burning or itching in your nose. It can also cause nosebleed and headache in some patients. Talk to your doctor if you are worried about side effects or they do not go away. This medicine may lower the ability of your body to fight off infections, so try to stay away from someone having chickenpox, measles, or tuberculosis. In general, you should try to avoid situations which make your symptoms worse (things like pollen and dust mites), and it would be best to avoid smoking.Before starting to use this medicine you should let your doctor know if you are pregnant or breastfeeding, discuss the risks and benefits with your healthcare team. If you use this medicine for a long time, your doctor may want to carry out certain medical tests during the duration of treatment to check your progress.","Avamys Nasal Spray is a steroid.It relieves the symptoms of allergic rhinitis such as runny nose, sneezing and sinus discomfort.Talk to your doctor if you are worried about side effects or they do not go away."
118,119,"Aten 25 Tablet belongs to a group of medicines called beta-blockers. It is used to treat high blood pressure (hypertension), angina (heart-related chest pain), irregular heart rhythms (arrhythmia). It also helps to prevent future heart attacks and stroke and to prevent migraine.Aten 25 Tablet is also used to relieve the symptoms caused by an overactive thyroid gland. It may be prescribed alone or together with other medications. The dose and frequency depend on what you are taking it for and the severity of your condition. It may be taken empty stomach or with a meal, but take it regularly at the same time each day to get the most benefit. It may take several weeks before you get the full benefit of this medicine and you may need to take it for the rest of your life. However, it is important to continue taking it even if you feel well. Most people with high blood pressure do not feel ill and if you stop taking it, your condition may worsen.The main side effects of this medicine are fatigue, slow heart rate,  feeling dizzy, diarrhea, and nausea. These are usually mild and short-lived. It may also cause shortness of breath or low blood pressure in some people. To reduce the risk of side effects your doctor will probably start the medicine at a low dose and gradually increase it. Consult your doctor if the side effects bother you or do not go away.Before taking it, let your doctor know if you have any liver problems. It may also not be suitable for people who have a slow heart rate, severe circulation problems, severe heart failure, or low blood pressure. Pregnant or breastfeeding mothers should also consult their doctor before taking it. You must talk to your doctor to find out whether this medicine is suitable for you to use. You should have your blood pressure checked regularly to make sure that this medicine is working properly. Avoid drinking alcohol as it may increase certain side effects.",Aten 25 Tablet belongs to a group of medicines called beta-blockers.Pregnant or breastfeeding mothers should also consult their doctor before taking it.These are usually mild and short-lived.
119,120,"Aziderm 20% Cream is a topical medication used in the treatment of acne (pimples). It effectively relieves symptoms such as lumps, redness and swelling associated with different forms of acne by killing the acne causing bacteria.Aziderm 20% Cream is for external use only. You should always use it exactly as your doctor has told you. The affected area should be clean and dry before application. You must wash your hands thoroughly before and after applying this medicine. This medicine should be used regularly to get the most benefit from it. Do not use more than you need as it will not clear your condition faster and some side effects may be increased. If your condition goes on for longer than four weeks or gets worse at any time, let your doctor know. You can help this medicine work better by keeping the affected areas clean.Aziderm 20% Cream has a few potential side effects but not everyone will get them. These may include application site reactions like burning, irritation, itching, and redness. Serious allergic reaction to this drug is rare but let your doctor know if you’re bothered by side effects or they do not go away. Make sure you read the instructions that come with your medicine. Avoid contact with eyes. In case of accidental contact, you should rinse eyes thoroughly with water.If you are pregnant, breastfeeding, or plan to become pregnant, you should consult your doctor before using this medicine as it may cause side effects that could be harmful to the developing baby.",Aziderm 20% Cream is a topical medication used in the treatment of acne (pimples).The affected area should be clean and dry before application.Avoid contact with eyes.
120,121,"Amixide-H Tablet is a combination of two medicines. It is used in the treatment of depression associated with anxiety. It helps in regulating mood and to reduce anxiety.Amixide-H Tablet is taken with or without food. However, it is advised to take it at a fixed time each day to maintain a consistent level of medicine in the blood. In case you miss a dose of this medicine, take it as soon as you remember. Never skip any dose and finish the full course of treatment even if you feel better. It is important that this medication is not stopped suddenly without talking to the doctor as it may worsen your symptoms. Taking this medicine for a long time may require regular monitoring of blood and liver functions.Some common side effects of this medicine include constipation, difficulty in urination, weight gain, confusion, orthostatic hypotension (sudden lowering of blood pressure on standing). This medicine may cause weight loss. In case of losing weight, consult a dietitian for dietary supplements or try to increase your food portion. Most of the common side effects tend to be mild. Your doctor may be able to suggest ways of preventing or reducing side effects if they bother you or do not go away. Serious side effects are rare. Remember to inform your doctor if you develop any unusual changes in mood as it may lead to suicidal thoughts.Take caution while taking medicine if you are suffering from liver disease. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. Inform your doctor if you are pregnant, planning pregnancy or breastfeeding.","Inform your doctor if you are pregnant, planning pregnancy or breastfeeding.Amixide-H Tablet is a combination of two medicines.Most of the common side effects tend to be mild."
121,122,"Aerocort Inhaler is used in the treatment of asthma (wheezing and shortness of breath). It relaxes the muscles of the air passages and makes it easier to breathe.Your doctor will tell you how often you need to use your inhaler. It’s important that you take the lowest dose needed to effectively control your asthma. The effect of this medicine may be noticeable after a few days but will only reach its maximum after a few weeks. This medicine must be used regularly to be effective, so go on taking it even if you don't have any symptoms. That means it’s doing its job. If you stop taking it your asthma may get worse. It should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (reliever). To get the benefit from this medicine you need to make sure you get your inhaler technique right, otherwise, it does not work as well.The most common side effects are hoarseness of voice, sore throat, fungal infection of mouth, respiratory tract infection, headache, and muscle cramp. If you get these, don’t stop taking it but do talk to your doctor. You can help prevent some of these symptoms by rinsing your mouth and throat with water or brushing your teeth after using your inhaler. There are other, rarer side effects which can be serious. Talk to your doctor if you're worried about them. In general, you should be trying to avoid situations that make your asthma worse (your triggers) and try not to smoke.Ask your doctor whether it’s safe to take this medicine if you're pregnant or breastfeeding. Before taking it, you should tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you.",Aerocort Inhaler is used in the treatment of asthma (wheezing and shortness of breath).That means it’s doing its job.Talk to your doctor if you're worried about them.
122,123,"Aziderm 10% Cream is a topical medication used in the treatment of acne (pimples). It effectively relieves symptoms such as lumps, redness and swelling associated with different forms of acne by killing the acne causing bacteria.Aziderm 10% Cream is for external use only. You should always use it exactly as your doctor has told you. The affected area should be clean and dry before application. You must wash your hands thoroughly before and after applying this medicine. This medicine should be used regularly to get the most benefit from it. Do not use more than you need as it will not clear your condition faster and some side effects may be increased. If your condition goes on for longer than four weeks or gets worse at any time, let your doctor know. You can help this medicine work better by keeping the affected areas clean.Aziderm 10% Cream has a few potential side effects but not everyone will get them. These may include application site reactions like burning, irritation, itching, and redness. Serious allergic reaction to this drug is rare but let your doctor know if you’re bothered by side effects or they do not go away. Make sure you read the instructions that come with your medicine. Avoid contact with eyes. In case of accidental contact, you should rinse eyes thoroughly with water.If you are pregnant, breastfeeding, or plan to become pregnant, you should consult your doctor before using this medicine as it may cause side effects that could be harmful to the developing baby.",Aziderm 10% Cream is a topical medication used in the treatment of acne (pimples).The affected area should be clean and dry before application.Avoid contact with eyes.
123,124,"Azicip 500 Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. It is also effective in typhoid fever and some sexually transmitted diseases like gonorrhea.Azicip 500 Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the return or worsening of the infection.Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. These are usually temporary and subside with the completion of treatment. Consult your doctor if you find these side effects worry you or persist for a longer duration.Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Pregnant or breastfeeding women should consult their doctor before using this medicine.",These are usually temporary and subside with the completion of treatment.It should be used regularly at evenly spaced time intervals as prescribed by your doctor.Pregnant or breastfeeding women should consult their doctor before using this medicine.
124,125,"Ampilox Capsule is a combination medicine that is used to treat various types of bacterial infections. It fights against the microorganisms to prevent their growth and further spread of the infection.Ampilox Capsule is a prescription medicine. It is advised to take it as per the prescription. It can be taken with or without food, but it must be taken at a fixed time to ensure better efficacy. Do not consume more than the recommended dose, as this may have harmful effects on your body. If you miss a dose, take it as soon as you remember. The course of the treatment must be completed even if you feel better. Sudden discontinuation of the treatment may affect the potency of the medicine.Some common side effects of this medicine are nausea, vomiting, diarrhea, indigestion, etc. If any of the side effects get aggravated, you must consult your doctor immediately. If you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.), you must seek immediate medical help.Before taking this medicine, you should tell your doctor if you are taking any medicines for any health condition. Pregnant or breastfeeding women should also consult with their doctor before taking it. Avoid drinking alcohol as it can cause excessive drowsiness with this medicine. It usually does not impair your ability to drive, but you should not drive if it makes you feel sleepy or dizzy. You must take adequate rest for a faster recovery, also take a healthy diet and drink plenty of water. Your doctor may ask for a few laboratory and diagnostic tests to know the effects of the medicine on your body.","If you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.It usually does not impair your ability to drive, but you should not drive if it makes you feel sleepy or dizzy.Pregnant or breastfeeding women should also consult with their doctor before taking it."
125,126,"Acuvin Tablet is a pain relieving medicine. It is used in various conditions such as muscle ache, back pain, joint pain, menstrual cramps, and toothache.Acuvin Tablet can be taken with or without food. The dose and duration will depend on what you are taking it for and how well it helps your symptoms. You should keep taking the medicine even if you feel better until the doctor says it is alright to stop using it.Using this medicine may cause few common side effects such as nausea, vomiting, constipation, weakness, and dryness in mouth. If you experience any such side effects that do not go away or get worse, you should let your doctor know. Your doctor may be able to suggest ways of preventing or reducing the symptoms. In general, you should try to use the smallest amount necessary to control your symptoms.Before using the medicine, you should tell your doctor if you have any other medical conditions or disorders. It may also affect, or be affected by, some other medicines you are using so let your doctor know all the other medicines you are taking. It should be used with caution in patients who are alcoholic or have liver or kidney disease. Pregnant and breastfeeding women should consult their doctors first before using the medicine.",Acuvin Tablet is a pain relieving medicine.It should be used with caution in patients who are alcoholic or have liver or kidney disease.Pregnant and breastfeeding women should consult their doctors first before using the medicine.
126,127,"Asthalin 4 Tablet is used to relieve symptoms of asthma and chronic obstructive pulmonary disease (COPD) such as coughing, wheezing and breathlessness. It helps in relaxing the muscles of the air passages, thus widening it and making it easier to breathe.You can take Asthalin 4 Tablet with or without food. The dose will depend on your condition and how your respond to the medicine. Try to take it at the same time each day. It is important to keep taking this medicine until your doctor tells you not to. Use this medicine regularly to get the most benefit from it even if you feel well.Asthalin 4 Tablet is generally safe and effective but some common side effects include tremor, headache. fast heart rate, and muscle cramps. These side effects are not often dangerous and they should gradually improve as your body gets used to this medicine. There are other, rarer, side effects and you should call your doctor straight away if you get chest pain, a very bad headache or very bad dizziness.Before using Asthalin 4 Tabletl, you should tell your doctor if you have high blood pressure, an overactive thyroid gland, a history of heart problems, diabetes or low levels of potassium in your blood to make sure it is safe. Also, make sure your doctor knows if you are pregnant or breastfeeding before taking this medicine. This medicine can make you feel dizzy or shaky so avoid driving, cycling or using tools or machinery until you feel better. You should not smoke as it causes damage to your lungs and will make your condition worse.","Asthalin 4 Tablet is used to relieve symptoms of asthma and chronic obstructive pulmonary disease (COPD) such as coughing, wheezing and breathlessness.Try to take it at the same time each day.fast heart rate, and muscle cramps."
127,128,"Alkacip Syrup is a medicine used in the treatment of gout and kidney stones. It stops the production of uric acid in the body and reduces the episodes of gout attack and prevent kidney stones.Alkacip Syrup can be taken with or without food. This will prevent you from getting an upset stomach. Take it regularly and do not stop taking the medicine even if you get better until that doctor tell you it is alright to stop.The most common side effect of this medicine is stomach pain. It may also cause diarrhea, excessive production of urine, tiredness, etc. If any of these side effects does not resolve with time or get worsen, you should let your doctor know. Your doctor may help with ways to reduce or prevent these symptoms by reducing the dose or prescribing an alternative medicine.To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. Also tell your doctor if you have any problems with your heart, kidneys, or liver. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.","Alkacip Syrup is a medicine used in the treatment of gout and kidney stones.If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.This will prevent you from getting an upset stomach."
128,129,"Amaryl 2mg Tablet is a medicine used to treat type 2 diabetes mellitus in adults. It belongs to a group of medicines called sulfonylureas and helps control blood sugar levels in people with diabetes. This helps to prevent serious complications of diabetes like kidney damage and blindness.Amaryl 2mg Tablet may be used alone or along with other medicines. It should be taken just before or with the first meal of the day. Take it regularly at the same time each day to get the maximum benefit. Your doctor will decide what dose is best for you and this may change from time to time according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems, and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effects of taking this medicine include low blood sugar levels (hypoglycemia), nausea, headache, and dizziness. Make sure you recognize the signs of having low blood sugar levels, such as sweating, dizziness, headache, and shaking, and know how to deal with them. To prevent this, it is important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and hence should be avoided. Some people may experience an increase in weight with this medicine.You should not take it if you have type 1 diabetes mellitus, diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease, thyroid disease, or some hormonal conditions, as it may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.",It should be taken just before or with the first meal of the day.Pregnant or breastfeeding women should also consult their doctor before taking it.Amaryl 2mg Tablet is a medicine used to treat type 2 diabetes mellitus in adults.
129,130,"Aprezo Tablet is used in the treatment of moderate to severe plaque psoriasis which is a type of skin condition. This medicine is used when other conventional treatments cannot be used or if the patient is not responsive or intolerant to any of these treatments. Aprezo Tablet can be taken with or without food. Take it regularly and do not stop taking the medicine even if you get better until that doctor tells you it is alright to stop. You may need to monitor your weight regularly while taking the medicine as it may cause weight loss.Using this medicine may cause few common side effects such as nausea, diarrhea, and vomiting. If these side effects persist or get worse, let your doctor know. Your doctor may help with ways to reduce or prevent these symptoms by prescribing you an alternative medicine or by adjusting the dose.To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.","Aprezo Tablet is used in the treatment of moderate to severe plaque psoriasis which is a type of skin condition.If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.This medicine is used when other conventional treatments cannot be used or if the patient is not responsive or intolerant to any of these treatments."
130,131,"Aclind BP 2.5% Gel is a combination of medicines that are used to treat acne. It kills the bacteria which cause acne. It also reduces oil production and replenishes the skin.Aclind BP 2.5% Gel should be used in the dose and duration as advised by your doctor. It is for external use only. Wash your hands before using this medicine. Apply only on the affected areas of the skin. It is advised to check the label for directions before use. The most common side effects include skin peeling, redness, dry skin and burning and sensation at the application site.If this side effect persist for a longer duration, inform your doctor. In case by accident, this medicine goes into your eyes, ears, nose or mouth, immediately rinse it with water. Inform your doctor if you notice darkening or discoloration, or severe burning sensation at the treated skin.Inform your doctor if you have known allergies from this medicine. If you are pregnant or suffering from any other condition, please inform your doctor. This medicine is safe to use in breastfeeding mothers.","It kills the bacteria which cause acne.It is for external use only.If you are pregnant or suffering from any other condition, please inform your doctor."
131,132,"Acnesol 1% solution is an antibiotic that fights bacteria. It is used to treat acne, which appears as spots or pimples on your face, chest or back. This medicine works by attacking the bacteria that cause these pimples.Acnesol 1% solution is only meant for external use and should be used as advised by your doctor. You should normally wash and dry the affected area before applying a thin layer of the medicine. It should not be applied to broken or damaged skin. Avoid any contact with your eyes, nose, or mouth. Rinse it off with water if you accidentally get it in these areas. It may take several weeks for your symptoms to improve, but you should keep using this medicine regularly. Do not stop using it as soon as your acne starts to get better. Ask your doctor when you should stop treatment.Common side effects like minor itching, burning, or redness of the skin and oily skin may be seen in some people. These are usually temporary and resolve on their own. Consult your doctor if they bother you or do not go away.It is a safe medicine, but you should inform your doctor if you have any problems with your bowels (intestines). Also, inform the doctor if you have ever had bloody diarrhea caused by taking antibiotics or if you are using any other medicines to treat skin conditions. Consult your doctor about using this medicine if you are pregnant or breastfeeding.",Acnesol 1% solution is an antibiotic that fights bacteria.Consult your doctor about using this medicine if you are pregnant or breastfeeding.These are usually temporary and resolve on their own.
132,133,"Aquazide 12.5 Tablet is a diuretic (water pill) medicine used to treat hypertension (high blood pressure). This medicine reduces excess fluid levels in the body and treats edema (fluid overload) associated with heart, liver, kidney, or lung disease.Aquazide 12.5 Tablet makes you lose excess water through urine. It may be used alone or in combination with other medicines. This medicine should be taken only during day time to avoid frequent urination at night. You must take this medicine in the dose and duration as advised by the doctor and never stop it abruptly without consulting the doctor. Most people with high blood pressure do not feel ill, but if you stop taking this medicine, your condition could get worse. This may lead to your blood pressure rising up again and increase your risk of heart disease and stroke.It is important to have your blood pressure checked regularly. This medicine is only one part of a treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. You can eat normally while taking this medicine, but try to reduce your salt intake.Common side effects of this medicine include headache, nausea, and dizziness. Consult your doctor if these side effects bother you. Before taking this medicine, its better to let your doctor know if you are suffering from any kidney or liver disease. Also, pregnant women and breastfeeding mothers should consult doctor before taking it. You must inform doctor about all the other medicines that you are taking apart from this medicine. Regular monitoring of kidney function and electrolytes is important while using this medicine.","Also, pregnant women and breastfeeding mothers should consult doctor before taking it.Consult your doctor if these side effects bother you.This medicine reduces excess fluid levels in the body and treats edema (fluid overload) associated with heart, liver, kidney, or lung disease.Aquazide 12.5 Tablet makes you lose excess water through urine."
133,134,"Amortive Cream is an antifungal medication. It is used for treating fungal infections of the affected area. It kills the fungi and helps in treating the infection.Amortive Cream should be used in the dose and duration as advised by your doctor. Some of the common side effects include blisters on the skin, nail disorders like nail damage and discoloration, skin irritation, rash, or redness on the site of application. Please consult your doctor if these side effects persist for a longer duration.Make sure you wash your hands before and after applying the medicine. Avoid direct contact of the cream or ointment with your eyes. In case of direct contact, wash your eyes with water and seek immediate medical attention.","Amortive Cream is an antifungal medication.It is used for treating fungal infections of the affected area.In case of direct contact, wash your eyes with water and seek immediate medical attention."
134,135,"Aldactone 50 Tablet is a medicine known as a diuretic (water pill). It is mainly used in the treatment of heart failure and high blood pressure. It reduces the swelling (edema) caused by some other conditions. This medicine is also used to treat low potassium levels in the body (hypokalemia).Aldactone 50 Tablet should be taken with food at the same time each day to get the most benefit. Taking it early in the day can help prevent you from having to get up at night to go to the toilet frequently, You should keep using this medicine as it has been prescribed, even if you feel well. If you stop taking it, your condition may get worse. Follow your doctor's advice about the type and amount of liquids you should drink. If you are being treated for high blood pressure, lifestyle changes such as exercising regularly, and making changes to your diet like a low-salt diet may increase the effectiveness of this medicine.The common side effects include nausea, vomiting, dizziness and swelling, or tenderness of your breasts (men and women). If these bother you, or appear serious, let your doctor know. There may be ways of reducing or preventing them. Drinking alcohol can increase certain side effects and should be avoided.You should be careful about using Aldactone 50 Tablet if you have kidney problems or are unable to urinate. Before taking it, tell your doctor if you have ever had kidney, liver or heart disease or are pregnant. Also let your healthcare team know about all other medications you are using as they may affect, or be affected by this medicine. Pregnant or breastfeeding women should consult their doctor before taking this medicine. While using this medicine, you may be advised to limit your intake of salt or salt substitutes, and you should have your blood pressure checked frequently. Some other tests like kidney function (e.g., creatinine) and potassium levels will be done to monitor your progress.",It reduces the swelling (edema) caused by some other conditions.Aldactone 50 Tablet is a medicine known as a diuretic (water pill).Pregnant or breastfeeding women should consult their doctor before taking this medicine.
135,136,"Ambrolite D Plus Syrup is a combination medicine used in the treatment of dry cough. It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation. It also provides relief from congestion or stuffiness in the nose.Ambrolite D Plus Syrup is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, vomiting, loss of appetite, and headache. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can worsen your sleepiness.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you.","It relieves allergic symptoms such as sneezing, runny nose, watery eyes, and throat irritation.Most of these are temporary and usually resolve with time.It is beneficial to have plenty of fluids while taking this medication."
136,137,"Ambrolite Syrup is used for treating various respiratory tract disorders associated with excessive mucus. It works by thinning and loosens mucus in the nose, windpipe and lungs and make it easier to cough out.Ambrolite Syrup should be taken with food. For better results, it is suggested to take it at the same time every day.  The dose and how often you take it depends on what you are taking it for. Your doctor will decide how much you need to improve your symptoms.  It is advised not to use it for more than 14 days without doctor consultation.The most common side effects of this medicine include vomiting, nausea, and stomach upset. Talk to your doctor if you are worried about side effects or they would not go away. Generally, it is advised not to take alcohol while on treatment.Before taking this medicine, tell your doctor if you have liver or kidney disease or if you have stomach problems. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. You must take doctor's advice before using this medicine if you are pregnant or breastfeeding.","Ambrolite Syrup is used for treating various respiratory tract disorders associated with excessive mucus.It works by thinning and loosens mucus in the nose, windpipe and lungs and make it easier to cough out.Ambrolite Syrup should be taken with food.For better results, it is suggested to take it at the same time every day."
137,138,"Amodep AT Tablet is used to treat hypertension (high blood pressure). This is a combination of two medicines that controls blood pressure when a single medication is not effective. It helps to lower high blood pressure and thus reduces the chances of future heart attack and stroke.You can take Amodep AT Tablet at any time of day, on empty stomach, but it is best to take it at the same time each day. Keep taking it for as long as advised by your doctor. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. If you stop taking it, your condition may get worse. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. Follow your doctor’s advice while taking this medicine.It may cause side effects like headache, ankle swelling, slow heart rate, and nausea. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment.Before taking it, let your doctor know if you have any liver or kidney problems. Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions.","Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine.This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements.Amodep AT Tablet is used to treat hypertension (high blood pressure)."
138,139,"Alkacitral Liquid is a medicine used in the treatment of gout and kidney stones. It stops the production of uric acid in the body and reduces the episodes of gout attack and prevent kidney stones.Alkacitral Liquid can be taken with or without food. This will prevent you from getting an upset stomach. Take it regularly and do not stop taking the medicine even if you get better until that doctor tell you it is alright to stop.The most common side effect of this medicine is stomach pain. It may also cause diarrhea, excessive production of urine, tiredness, etc. If any of these side effects does not resolve with time or get worsen, you should let your doctor know. Your doctor may help with ways to reduce or prevent these symptoms by reducing the dose or prescribing an alternative medicine.To make sure the medicine is safe for you, before taking this medicine, let your doctor know all the other medicines you are taking. Also tell your doctor if you have any problems with your heart, kidneys, or liver. If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.","Alkacitral Liquid is a medicine used in the treatment of gout and kidney stones.If you are pregnant or breastfeeding, consult your doctor first before taking this medicine.This will prevent you from getting an upset stomach."
139,140,"Alex Cough Lozenges Lemon Ginger is an antitussive medicine. It is used for the treatment of dry cough. Alex Cough Lozenges Lemon Ginger can be taken with or without food, but take it at the same time to get the most benefit. It should be taken as your doctor's advice. The dose and how often you take it depends on what you are taking it for. Your doctor will decide how much you need to improve your symptoms. Remember dosage is decided on the basis of type of medicine (syrup or lozenge), age and present medical condition of the person. You should take this medicine for as long as it is prescribed for you. You must inform your doctor if symptoms does not get improved within 7 days of the treatment.The most common side effects of this medicine include sleepiness, dizziness, confusion, and nausea..  If these bother you or appear serious, let your doctor know. There may be ways of reducing or preventing them. Generally, it is advised to drink plenty of fluids while on treatment with this medicine. To overcome dizziness, avoid driving or attention-seeking activities.Before taking this medicine, let your doctor know if you are pregnant, or breastfeeding. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works.",Alex Cough Lozenges Lemon Ginger is an antitussive medicine.There may be ways of reducing or preventing them.It is used for the treatment of dry cough.
140,141,"Amantrel Capsule is used alone, or with other medicines to treat Parkinson’s disease. It can also be used to treat movement side effects caused by certain drugs (drug-induced movement disorder). Amantrel Capsule may be taken with or without food. However, take it at the same time each day as this helps to maintain a consistent level of medicine in the body. Take this medicine in the dose and duration as advised by your doctor.If you have missed a dose, take it as soon as you remember it. You should finish the full course of treatment even if you feel better. It is important that this medication is not stopped suddenly without talking to your doctor. This medicine may put you at a higher risk of having seizures, so it is better to talk to your doctor if you have any history of seizures or taking medication for it.Some common side effects of Amantrel Capsule include nausea, dryness in the mouth, constipation, blurred vision, insomnia (difficulty sleeping), hallucinations, peripheral edema and balance disorder (loss of balance). It may initially cause dizziness and lowering of blood pressure while standing, so rise slowly and do not drive or do anything that requires mental focus until you know how this medicine affects you.","Amantrel Capsule is used alone, or with other medicines to treat Parkinson’s disease.You should finish the full course of treatment even if you feel better.It can also be used to treat movement side effects caused by certain drugs (drug-induced movement disorder)."
141,142,"Asthakind Expectorant Sugar Free is used in the treatment of cough with mucus. It thins mucus in the nose, windpipe and lungs, making it easier to cough out. It also provides relief from runny nose, sneezing, itching, and watery eyes.Asthakind Expectorant Sugar Free is taken with or without food in a dose and duration as advised by the doctor. The dose you are given will depend on your condition and how you respond to the medicine. You should keep taking this medicine for as long as your doctor recommends. If you stop treatment too early your symptoms may come back and your condition may worsen. Let your doctor know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, diarrhea, bloating, indigestion, vomiting, stomach pain, sweating, headache, skin rash, tremor, and increased heart rate. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects. This medicine can also cause sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Avoid drinking alcohol while taking this medicine as it can make sleepiness worse.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before taking this medicine, you should tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also tell your doctor if you have any kidney or liver diseases so that your doctor can prescribe a suitable dose for you.","It thins mucus in the nose, windpipe and lungs, making it easier to cough out.Most of these are temporary and usually resolve with time.Asthakind Expectorant Sugar Free is used in the treatment of cough with mucus."
142,143,"Azee 250 Tablet is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. It is also effective in typhoid fever and some sexually transmitted diseases like gonorrhea.Azee 250 Tablet is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the return or worsening of the infection.Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. These are usually temporary and subside with the completion of treatment. Consult your doctor if you find these side effects worry you or persist for a longer duration.Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Pregnant or breastfeeding women should consult their doctor before using this medicine.",These are usually temporary and subside with the completion of treatment.Pregnant or breastfeeding women should consult their doctor before using this medicine.It should be used regularly at evenly spaced time intervals as prescribed by your doctor.
